t,ramp_alpha,dry_run,tilt_trip,reason
8015.895196,1.000000,0,0,"ok"
8015.915090,1.000000,0,0,"ok"
8015.935050,1.000000,0,0,"ok"
8015.955093,1.000000,0,0,"ok"
8015.975095,1.000000,0,0,"ok"
8015.995085,1.000000,0,0,"ok"
8016.015085,1.000000,0,0,"ok"
8016.035121,1.000000,0,0,"ok"
8016.055085,1.000000,0,0,"ok"
8016.075082,1.000000,0,0,"ok"
8016.095081,1.000000,0,0,"ok"
8016.115082,1.000000,0,0,"ok"
8016.135081,1.000000,0,0,"ok"
8016.155086,1.000000,0,0,"ok"
8016.175075,1.000000,0,0,"ok"
8016.195096,1.000000,0,0,"ok"
8016.215077,1.000000,0,0,"ok"
8016.235372,1.000000,0,0,"ok"
8016.255093,1.000000,0,0,"ok"
8016.275081,1.000000,0,0,"ok"
8016.295073,1.000000,0,0,"ok"
8016.315074,1.000000,0,0,"ok"
8016.335103,1.000000,0,0,"ok"
8016.355947,1.000000,0,0,"ok"
8016.375100,1.000000,0,0,"ok"
8016.395085,1.000000,0,0,"ok"
8016.415072,1.000000,0,0,"ok"
8016.435081,1.000000,0,0,"ok"
8016.455070,1.000000,0,0,"ok"
8016.475074,1.000000,0,0,"ok"
8016.495085,1.000000,0,0,"ok"
8016.515316,1.000000,0,0,"ok"
8016.537320,1.000000,0,0,"ok"
8016.555185,1.000000,0,0,"ok"
8016.575159,1.000000,0,0,"ok"
8016.595064,1.000000,0,0,"ok"
8016.615082,1.000000,0,0,"ok"
8016.635067,1.000000,0,0,"ok"
8016.655019,1.000000,0,0,"ok"
8016.675064,1.000000,0,0,"ok"
8016.695062,1.000000,0,0,"ok"
8016.715065,1.000000,0,0,"ok"
8016.735072,1.000000,0,0,"ok"
8016.755306,1.000000,0,0,"ok"
8016.775060,1.000000,0,0,"ok"
8016.795057,1.000000,0,0,"ok"
8016.815059,1.000000,0,0,"ok"
8016.835065,1.000000,0,0,"ok"
8016.855066,1.000000,0,0,"ok"
8016.875058,1.000000,0,0,"ok"
8016.895065,1.000000,0,0,"ok"
8016.915023,1.000000,0,0,"ok"
8016.935748,1.000000,0,0,"ok"
8016.955053,1.000000,0,0,"ok"
8016.975070,1.000000,0,0,"ok"
8016.995142,1.000000,0,0,"ok"
8017.015010,1.000000,0,0,"ok"
8017.035133,1.000000,0,0,"ok"
8017.055070,1.000000,0,0,"ok"
8017.075278,1.000000,0,0,"ok"
8017.095078,1.000000,0,0,"ok"
8017.115052,1.000000,0,0,"ok"
8017.135069,1.000000,0,0,"ok"
8017.155052,1.000000,0,0,"ok"
8017.175178,1.000000,0,0,"ok"
8017.195048,1.000000,0,0,"ok"
8017.215062,1.000000,0,0,"ok"
8017.235062,1.000000,0,0,"ok"
8017.255060,1.000000,0,0,"ok"
8017.275038,1.000000,0,0,"ok"
8017.295043,1.000000,0,0,"ok"
8017.315051,1.000000,0,0,"ok"
8017.335085,1.000000,0,0,"ok"
8017.355012,1.000000,0,0,"ok"
8017.375043,1.000000,0,0,"ok"
8017.395036,1.000000,0,0,"ok"
8017.415043,1.000000,0,0,"ok"
8017.435912,1.000000,0,0,"ok"
8017.455107,1.000000,0,0,"ok"
8017.475044,1.000000,0,0,"ok"
8017.495035,1.000000,0,0,"ok"
8017.515044,1.000000,0,0,"ok"
8017.535036,1.000000,0,0,"ok"
8017.555066,1.000000,0,0,"ok"
8017.575036,1.000000,0,0,"ok"
8017.595029,1.000000,0,0,"ok"
8017.615073,1.000000,0,0,"ok"
8017.635079,1.000000,0,0,"ok"
8017.655054,1.000000,0,0,"ok"
8017.675029,1.000000,0,0,"ok"
8017.695033,1.000000,0,0,"ok"
8017.715036,1.000000,0,0,"ok"
8017.736446,1.000000,0,0,"ok"
8017.755100,1.000000,0,0,"ok"
8017.775065,1.000000,0,0,"ok"
8017.795033,1.000000,0,0,"ok"
8017.815036,1.000000,0,0,"ok"
8017.835060,1.000000,0,0,"ok"
8017.855070,1.000000,0,0,"ok"
8017.875025,1.000000,0,0,"ok"
8017.895036,1.000000,0,0,"ok"
8017.915058,1.000000,0,0,"ok"
8017.935050,1.000000,0,0,"ok"
8017.954995,1.000000,0,0,"ok"
8017.975025,1.000000,0,0,"ok"
8017.995019,1.000000,0,0,"ok"
8018.015150,1.000000,0,0,"ok"
8018.035026,1.000000,0,0,"ok"
8018.055013,1.000000,0,0,"ok"
8018.075025,1.000000,0,0,"ok"
8018.095015,1.000000,0,0,"ok"
8018.115017,1.000000,0,0,"ok"
8018.135023,1.000000,0,0,"ok"
8018.155015,1.000000,0,0,"ok"
8018.175011,1.000000,0,0,"ok"
8018.195018,1.000000,0,0,"ok"
8018.215010,1.000000,0,0,"ok"
8018.234990,1.000000,0,0,"ok"
8018.255012,1.000000,0,0,"ok"
8018.275011,1.000000,0,0,"ok"
8018.295018,1.000000,0,0,"ok"
8018.315028,1.000000,0,0,"ok"
8018.337994,1.000000,0,0,"ok"
8018.355005,1.000000,0,0,"ok"
8018.375013,1.000000,0,0,"ok"
8018.395001,1.000000,0,0,"ok"
8018.415353,1.000000,0,0,"ok"
8018.435039,1.000000,0,0,"ok"
8018.455010,1.000000,0,0,"ok"
8018.475003,1.000000,0,0,"ok"
8018.495000,1.000000,0,0,"ok"
8018.515005,1.000000,0,0,"ok"
8018.535778,1.000000,0,0,"ok"
8018.555001,1.000000,0,0,"ok"
8018.575014,1.000000,0,0,"ok"
8018.594996,1.000000,0,0,"ok"
8018.614999,1.000000,0,0,"ok"
8018.634925,1.000000,0,0,"ok"
8018.655003,1.000000,0,0,"ok"
8018.675007,1.000000,0,0,"ok"
8018.694996,1.000000,0,0,"ok"
8018.714995,1.000000,0,0,"ok"
8018.736157,1.000000,0,0,"ok"
8018.754981,1.000000,0,0,"ok"
8018.775007,1.000000,0,0,"ok"
8018.794994,1.000000,0,0,"ok"
8018.814990,1.000000,0,0,"ok"
8018.836024,1.000000,0,0,"ok"
8018.854994,1.000000,0,0,"ok"
8018.874986,1.000000,0,0,"ok"
8018.894978,1.000000,0,0,"ok"
8018.915003,1.000000,0,0,"ok"
8018.935635,1.000000,0,0,"ok"
8018.955552,1.000000,0,0,"ok"
8018.974989,1.000000,0,0,"ok"
8018.994985,1.000000,0,0,"ok"
8019.015003,1.000000,0,0,"ok"
8019.034995,1.000000,0,0,"ok"
8019.054991,1.000000,0,0,"ok"
8019.074979,1.000000,0,0,"ok"
8019.094978,1.000000,0,0,"ok"
8019.114993,1.000000,0,0,"ok"
8019.134981,1.000000,0,0,"ok"
8019.154979,1.000000,0,0,"ok"
8019.174989,1.000000,0,0,"ok"
8019.194977,1.000000,0,0,"ok"
8019.214981,1.000000,0,0,"ok"
8019.235407,1.000000,0,0,"ok"
8019.255010,1.000000,0,0,"ok"
8019.274997,1.000000,0,0,"ok"
